"","date","probe_name","probe_type","value"
"390","07/01/2021 08:00:00","B1_pH1","pH",8.12
"391","07/01/2021 08:00:00","B2T1","Temp",18
"392","07/01/2021 08:00:00","B2pH1","pH",7.98
"393","07/01/2021 08:10:00","B2_T2","Temp",20
"394","07/01/2021 08:10:00","B2_pH2","pH",4.52
"395","07/01/2021 08:10:00","B1_pH2","pH",8.12
"396","07/01/2021 08:10:00","B1_T2","Temp",16.1
"397","07/01/2021 08:10:00","B1_T1","Temp",16.1
"398","07/01/2021 08:10:00","B1_pH1","pH",8.12
"399","07/01/2021 08:10:00","B2T1","Temp",18
"400","07/01/2021 08:10:00","B2pH1","pH",7.98
"401","07/01/2021 08:20:00","B2_T2","Temp",20.5
"402","07/01/2021 08:20:00","B2_pH2","pH",4.52
"403","07/01/2021 08:20:00","B1_pH2","pH",8.12
"404","07/01/2021 08:20:00","B1_T2","Temp",16.2
"405","07/01/2021 08:20:00","B1_T1","Temp",16.1
"406","07/01/2021 08:20:00","B1_pH1","pH",8.12
"407","07/01/2021 08:20:00","B2T1","Temp",18.1
"408","07/01/2021 08:20:00","B2pH1","pH",7.98
"409","07/01/2021 08:30:00","B2_T2","Temp",21.1
"410","07/01/2021 08:30:00","B2_pH2","pH",4.52
"411","07/01/2021 08:30:00","B1_pH2","pH",8.12
"412","07/01/2021 08:30:00","B1_T2","Temp",16.2
"413","07/01/2021 08:30:00","B1_T1","Temp",16.2
"414","07/01/2021 08:30:00","B1_pH1","pH",8.12
"415","07/01/2021 08:30:00","B2T1","Temp",18.2
"416","07/01/2021 08:30:00","B2pH1","pH",7.98
"417","07/01/2021 08:40:00","B2_T2","Temp",22.5
"418","07/01/2021 08:40:00","B2_pH2","pH",4.51
"419","07/01/2021 08:40:00","B1_pH2","pH",8.13
"420","07/01/2021 08:40:00","B1_T2","Temp",16.3
"421","07/01/2021 08:40:00","B1_T1","Temp",16.3
"422","07/01/2021 08:40:00","B1_pH1","pH",8.12
"423","07/01/2021 08:40:00","B2T1","Temp",18.3
